kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Guru menunjuk siswa satu per satu dan menanyakan keadaan lingkungan rumah mereka masing-masing.,Guru menunjuk siswa satu per satu dan menanyakan akedaan lingkungan rumah mereka masing-masing.,IPA,Transposition Error
Guru membagi siswa dalam beberapa kelompok.,Guru membagi siswa damla beberapa kelompok.,IPA,Transposition Error
Setiap kelompok diminta mengamati kelas.,Setiap kelompok diminta mengtamai kelas.,IPA,Transposition Error
"Lalu setiap kelompok diminta memilih cara merapikan dan membersihkan kelas (menyapu, mengelap, dan lain-lain).","Lalu setiap kelompok diminta memilih cara merpaikan dan membersihkan kelas (menyapu, mengelap, dan lain-lain).",IPA,Transposition Error
Guru memberi pengarahan pada siswa cara menjiplak dan mewarnai gambar di atas.,Guru memberi pengarahan pada siswa cara menijplak dan mewarnai gambar di atas.,IPA,Transposition Error
Guru memberi contoh menceritakan tanaman atau hewan piaraan yang dimilikinya dengan urutan seperti diminta.,Guru memberi contoh menceritakan tanaman atau ahewn piaraan yang dimilikinya dengan urutan seperti diminta.,IPA,Transposition Error
Lalu guru menunjuk siswa satu per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,Lalu guru menunjuk siswa usat per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,IPA,Transposition Error
Orang tua menemani dan memberikan petunjuk pada siswa untuk membersihkan kamarnya.,Orang tua menemani dan memberikan petunjuk apda siswa untuk membersihkan kamarnya.,IPA,Transposition Error
"Lalu, menuntun mereka cara menggambar situasi kamar.","Lalu, menuntun mereka cara menggambar situasi akmar.",IPA,Transposition Error
"Setelah mempelajari bab ini siswa harus mampu mengidentifikasi berbagai benda berdasarkan ciri-ciri dan sifatnya (bentuk, ukuran, warna, rasa, bahan, dan permukaannya).","Setelah mempelajari bab ini siswa harus pmamu mengidentifikasi berbagai benda berdasarkan ciri-ciri dan sifatnya (bentuk, ukuran, warna, rasa, bahan, dan permukaannya).",IPA,Transposition Error
Mula-mula guru membacakan contoh.,Mula-mula guru memacakban contoh.,IPA,Transposition Error
Lalu meminta siswa mengamati gambar benda yang lain dan menuliskan bentuknya pada buku tugas.,Lalu meminta siswa mengamati gambar benda gyan lain dan menuliskan bentuknya pada buku tugas.,IPA,Transposition Error
Guru menyiapkan dua buah buku yang berbeda ukuran.,Guru menyiapkan dua buah buku yang erbebda ukuran.,IPA,Transposition Error
"Lalu, siswa diminta membandingkan ukuran kedua buku itu dengan pertanyaan: buku mana yang lebih besar?","Lalu, siswa diminta membandingkan ukuran kedua ubku itu dengan pertanyaan: buku mana yang lebih besar?",IPA,Transposition Error
Atau buku mana yang lebih kecil?,Atau buku mana anyg lebih kecil?,IPA,Transposition Error
Guru menyiapkan bahan-bahan tersebut di atas meja.,Guru menyiapkan bahan-bahan tersebut di atas amej.,IPA,Transposition Error
"Beberapa siswa diminta maju dan mencicipi setiap bahan, kemudian mereka diminta menyebutkan rasa dan nama bahan tersebut.","Beberapa siswa diminta maju dan mencicipi setaip bahan, kemudian mereka diminta menyebutkan rasa dan nama bahan tersebut.",IPA,Transposition Error
Guru memberi contoh menyebutkan berbagai jenis makanan kesukaan dan makanan yang tidak disukai dan rasanya.,Guru memberi contoh menyebutkan berbagai jenis mkanaan kesukaan dan makanan yang tidak disukai dan rasanya.,IPA,Transposition Error
Guru memberi contoh.,Guru memberi conoth.,IPA,Transposition Error
Misalnya: aku suka bau harum bunga sedap malam.,Misalnya: aku suka bau harum bunga asedp malam.,IPA,Transposition Error
"Lalu, siswa ditunjuk satu per satu dan diminta menceritakan bau yang disukai.","Lalu, siswa ditunjuk satu per satu dan diminta menceraitkan bau yang disukai.",IPA,Transposition Error
Orang tua membantu siswa mencari dan mengenali berbagai benda di rumah yang berbentuk balok.,Orang tua membantu siswa mencari dan menegnali berbagai benda di rumah yang berbentuk balok.,IPA,Transposition Error
"Lalu, menuntun mereka menuliskan nama benda itu di buku tugas.","Lalu, menuntun mereka menuliskan nama benda itu di ubku tugas.",IPA,Transposition Error
Setelah mempelajari bab ini siswa harus mampu mengenal benda yang dapat berubah bentuk dan mengidentifikasi kegunaan berbagai macam benda.,Setelah mempelajari bab ini siswa harus pmamu mengenal benda yang dapat berubah bentuk dan mengidentifikasi kegunaan berbagai macam benda.,IPA,Transposition Error
"Guru memperagakan melipat kertas menjadi berbagai mainan (pesawat, perahu, rumah, dan lain-lain).","Guru memperagakan melipat kertas menjadi berbagai maiann (pesawat, perahu, rumah, dan lain-lain).",IPA,Transposition Error
Lalu siswa diminta melakukan sendiri.,Lalu siswa diminta melkaukan sendiri.,IPA,Transposition Error
Pada akhir kegiatan guru mengajukan berbagai pertanyaan.,Pada akhir kegiatan guru mengajukan berbagai peranyatan.,IPA,Transposition Error
Guru membacakan contoh nama benda dan kegunaannya.,Guru membacakan contoh nama benda dan kegnaanunya.,IPA,Transposition Error
"Lalu, siswa ditunjuk satu per satu dan diminta menyebutkan nama benda dan kegunaannya.","Lalu, siswa ditunjuk satu per satu dan diminta menyebkutan nama benda dan kegunaannya.",IPA,Transposition Error
"Orang tua membantu siswa untuk mengenal 10 nama benda yang ada di rumah beserta kegunaannya, lalu menuntun mereka untuk menuliskannya di buku tugas.","Orang tua membantu siswa untuk mengenal 01 nama benda yang ada di rumah beserta kegunaannya, lalu menuntun mereka untuk menuliskannya di buku tugas.",IPA,Transposition Error
Mula-mula guru memperagakan dan meminta siswa mengamati.,Mula-mula guru memperagakan dan meminta siswa menagmati.,IPA,Transposition Error
Lalu guru meminta siswa melakukan sendiri kegiatan.,Lalu guru meminta siswa melakukan sendiri kegaitan.,IPA,Transposition Error
Terakhir guru meminta siswa menjawab secara lisan beberapa pertanyaan.,Terakhir guru meminta siswa menjawab secara alisn beberapa pertanyaan.,IPA,Transposition Error
Guru membacakan contoh benda dan termasuk kelompok apa (mudah atau sulit bergerak).,Guru membacakan contoh benda dan termasuk kelmopok apa (mudah atau sulit bergerak).,IPA,Transposition Error
"Lalu, siswa ditunjuk satu per satu dan diminta menyebutkan nama benda dan termasuk kelompok mana.","Lalu, siswa ditunjuk satu per satu dan diminta menyebkutan nama benda dan termasuk kelompok mana.",IPA,Transposition Error
"Mula-mula guru memperagakan, dan menjelaskan cara gerak benda.","Mula-mula guru memperagakan, dan menjelaskan cara agerk benda.",IPA,Transposition Error
Lalu beberapa siswa diminta melakukan sendiri kegiatan tersebut.,Lalu beberapa siswa diminta melakukan sendiri kegaitan tersebut.,IPA,Transposition Error
"Kegiatan diakhiri dengan menjawab pertanyaan, dan segera dilanjutkan kegiatan 4.","Kegiatan diakhiri dengan menjawab pertanyaan, dan sgerea dilanjutkan kegiatan 4.",IPA,Transposition Error
"Mula-mula guru memperagakan dan menjelaskan, dan meminta siswa mengamati yang terjadi.","Mula-mula guru memperagakan dan menjelaskan, dan memnita siswa mengamati yang terjadi.",IPA,Transposition Error
Selanjutnya siswa melakukan sendiri kegiatan itu.,Selanjutnya siswa melakukan seindri kegiatan itu.,IPA,Transposition Error
Kegiatan diakhiri dengan menjawab pertanyaan.,Kegiatan diakhiri dengan menjwaab pertanyaan.,IPA,Transposition Error
Orang tua membantu siswa menemukan jenis-jenis olahraga yang memakai bola.,Orang tua membantu siswa menemukan jenis-jenis olarhaga yang memakai bola.,IPA,Transposition Error
"Lalu, membantunya menuliskan di buku tugas.","Lual, membantunya menuliskan di buku tugas.",IPA,Transposition Error
Mula-mula guru memberi contoh menyanyikan lagu di atas.,Mula-mula guru memberi contoh menyanyikan lagu id atas.,IPA,Transposition Error
"Selanjutnya, guru mengajak siswa menyanyikan lagu itu bersama-sama.","Selajuntnya, guru mengajak siswa menyanyikan lagu itu bersama-sama.",IPA,Transposition Error
Lagu tersebut dapat juga dideklamasikan.,Lagu tersebut dapat ugja dideklamasikan.,IPA,Transposition Error
Orang tua menemani siswa mengamati langit dan menemukan posisi bulan.,Orang tua menemani siswa mengamati langit dan menemukan ipossi bulan.,IPA,Transposition Error
Lalu orang tua membantu siswa menggambar bentuk bulan yang terlihat.,Lalu orang tua membantu siswa menggambar benutk bulan yang terlihat.,IPA,Transposition Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban idar siswa mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Transposition Error
Mula-mula guru mengajak siswa ke halaman dalam waktu beberapa menit untuk mengamati keadaan langit hari ini.,Mula-mula guru mengajak siswa ke halaman adlam waktu beberapa menit untuk mengamati keadaan langit hari ini.,IPA,Transposition Error
"Setelah masuk kembali ke dalam kelas, siswa diminta menceritakan keadaan langit dan cuaca dengan menjawab beberapa pertanyaan.","Setelah masuk kembali ke dalam kelas, wsisa diminta menceritakan keadaan langit dan cuaca dengan menjawab beberapa pertanyaan.",IPA,Transposition Error
"Lalu, guru mengajak siswa menyanyikan lagu itu bersama-sama.","Lual, guru mengajak siswa menyanyikan lagu itu bersama-sama.",IPA,Transposition Error
Lagu juga dapat dideklamasikan.,Lagu juga adpat dideklamasikan.,IPA,Transposition Error
Mula-mula guru menyebutkan satu contoh.,Mula-mula guru menyebutkan atsu contoh.,IPA,Transposition Error
"Lalu, siswa diminta memilih dan menuliskan di buku tugasnya.","Lalu, siswa idminta memilih dan menuliskan di buku tugasnya.",IPA,Transposition Error
"Lalu, siswa diminta menulis jawabannya di buku tugas masing-masing.","Lalu, siswa diminta menulis jawabannya di ubku tugas masing-masing.",IPA,Transposition Error
Orang tua membantu mengingatkan siswa tentang situasi lingkungan rumah mereka saat musim hujan.,Orang tua membantu mengingatkan siswa tentang sitausi lingkungan rumah mereka saat musim hujan.,IPA,Transposition Error
"Misalnya: saat hujan lingkungan rumah menjadi becek, banjir, dan lain-lain.","Misalnya: saat hujan lingkungan rumah menjadi ebcek, banjir, dan lain-lain.",IPA,Transposition Error
"Selanjutnya, siswa diminta menuliskan pendapat mereka di buku tugas masing-masing.","Selanjutnya, siswa idminta menuliskan pendapat mereka di buku tugas masing-masing.",IPA,Transposition Error
Siswa diberi contoh menyiapkan semua alat dan bahan serta cara menyiram dan mengamati setiap hari selama enam hari berturut-turut.,Siswa diberi contoh menyiapkan semua alat dan bahan ersta cara menyiram dan mengamati setiap hari selama enam hari berturut-turut.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi hewan dan tumbuhan yang menguntungkan dan merugikan/membahayakan.,Setelah mempelajari bab ini siswa harus adpat mengidentifikasi hewan dan tumbuhan yang menguntungkan dan merugikan/membahayakan.,IPA,Transposition Error
Guru juga diharapkan memastikan siswa menuliskan jawaban di buku tugas.,Guru juga diharapkan memastikan siswa menuliskan jwabaan di buku tugas.,IPA,Transposition Error
"Terakhir, siswa diminta menjawab pertanyaan secara lisan.","Terakhir, siswa diminta menjawab pertanyaan secara alisn.",IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat menunjukkan perubahan bentuk dan wujud benda akibat dari kondisi tertentu.,Setelah mempelajari bab ini siswa harus adpat menunjukkan perubahan bentuk dan wujud benda akibat dari kondisi tertentu.,IPA,Transposition Error
Atau guru sendiri yang malakukan percobaan dan siswa diminta mengamati dan mendengar penjelasan guru.,Atau guru sendiri yang malakukan percobaan dan siswa tdimina mengamati dan mendengar penjelasan guru.,IPA,Transposition Error
Orang tua mendampingi dan mengarahkan siswa dalam melakukan tugas dan mencatat hasil pengamatannya.,Orang tua mendampingi dan mengarahkan siswa adlam melakukan tugas dan mencatat hasil pengamatannya.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi benda-benda yang dikenal beserta kegunaannya.,Setelah mempelajari bab ini siswa harus adpat mengidentifikasi benda-benda yang dikenal beserta kegunaannya.,IPA,Transposition Error
"Orang tua membantu siswa menemukan gambar, mengenalkan kegunaannya, dan mengarahkannya saat menempel dan menamai.","Orang tua membantu siswa menemukan gambar, menenalgkan kegunaannya, dan mengarahkannya saat menempel dan menamai.",IPA,Transposition Error
Jika perlu guru yang memperagakan dan siswa diminta mengamati.,Jika perlu guru yang memperagakan dan wsisa diminta mengamati.,IPA,Transposition Error
Orang tua mengarahkan siswa untuk menemukan benda-benda tersebut dan mengetahui secara benar energi yang dihasilkan dan sumbernya.,Orang tua mengarahkan siswa untuk menemukan bena-bednda tersebut dan mengetahui secara benar energi yang dihasilkan dan sumbernya.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat menjelaskan jenis energi yang paling sering digunakan dan cara melakukan penghematan energi.,Setelah mempelajari bab ini siswa harus adpat menjelaskan jenis energi yang paling sering digunakan dan cara melakukan penghematan energi.,IPA,Transposition Error
Orang tua membantu siswa mengerjakan tugas sesuai langkah-langkah.,Orang tua membantu siswa mengerjakan tugas sesaui langkah-langkah.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi kenampakan matahari dari pagi sampai sore (posisi) dan pengaruhnya (panas dan bayangan yang dibentuk).,Setelah mempelajari bab ini siswa harus adpat mengidentifikasi kenampakan matahari dari pagi sampai sore (posisi) dan pengaruhnya (panas dan bayangan yang dibentuk).,IPA,Transposition Error
Guru menyebutkan waktu saat itu dan mengajak siswa keluar sebentar ke halaman dan mengarahkan tugasnya.,Guru menyebutkan waktu saat itu dan menagjak siswa keluar sebentar ke halaman dan mengarahkan tugasnya.,IPA,Transposition Error
"Sesudah itu, siswa diminta menjawab beberapa pertanyaan.","Sesudah itu, siswa diminta menjawab beberapa peranyatan.",IPA,Transposition Error
Selain itu siswa juga diarahkan untuk membuat laporan yang tepat.,Selain itu siswa juga diarahkan untuk memubat laporan yang tepat.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mendeskripsikan kegunaan panas dan cahaya matahari dalam kehidupan sehari-hari.,Setelah mempelajari bab ini siswa harus adpat mendeskripsikan kegunaan panas dan cahaya matahari dalam kehidupan sehari-hari.,IPA,Transposition Error
"Gambar dapat dicari dari majalah, koran, dan sebagainya.","Rgamba dapat dicari dari majalah, koran, dan sebagainya.",IPA,Transposition Error
Guru sebaiknya juga waspada dan selalu mengawasi seluruh siswa!,Guru sebaiknya juga waspada dan selalu menagwasi seluruh siswa!,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengenal bagian-bagian utama tubuh hewan dan tumbuhan di sekitar serta kegunaannya.,Setelah mempelajari bab ini siswa harus adpat mengenal bagian-bagian utama tubuh hewan dan tumbuhan di sekitar serta kegunaannya.,IPA,Transposition Error
Guru mengarahkan siswa untuk mengamati gambar dalam kotak.,Guru mengarahkan siswa untuk mengamati gambar adlam kotak.,IPA,Transposition Error
"Lalu, siswa diminta menjawab berbagai pertanyaan sejauh mereka tahu.","Lalu, siswa diminta menjawab berbagai pertanyaan sejuah mereka tahu.",IPA,Transposition Error
Sebaiknya guru tidak menyalahkan atau membenarkan terlebih dahulu.,Sebaiknya guru tidak menyalahkan atau membenarkan terelbih dahulu.,IPA,Transposition Error
Guru mengarahkan siswa untuk mengamati gambar di atas.,Guru mengarahkan siswa untuk mengamati gambar id atas.,IPA,Transposition Error
"Lalu, siswa diminta menyebutkan nama hewan dan bagian tubuhnya sesuai nomor.","Lalu, siswa diminta menyebutkan nama hewan dan bagian tubuhany sesuai nomor.",IPA,Transposition Error
Guru memberi satu contoh.,Guru memberi usat contoh.,IPA,Transposition Error
Guru memberi penjelasan agar siswa menyalin gambar di buku tugas dan menuliskan nama bagian-bagian pohon kelapa dan bunga mawar.,Guru memberi penjelasan agar siswa menyalin gamabr di buku tugas dan menuliskan nama bagian-bagian pohon kelapa dan bunga mawar.,IPA,Transposition Error
"Bila siswa belum lancar membaca, guru membantu membacakan soal.","Bila siswa belum lancar membaca, guru memabntu membacakan soal.",IPA,Transposition Error
Guru juga diharapkan memastikan siswa menuliskan jawaban di buku tugas .,Guru juga diharapkan memastikan siswa menuliskan jwabaan di buku tugas .,IPA,Transposition Error
Orang tua membantu siswa menyiapkan majalah dan mengarahkan cara pengerjaan tugas.,Orang tua membantu siswa menyiapkan majalah dan mengarahkan cara pengerjaan utgas.,IPA,Transposition Error
Orang tua juga mengawasi penggunaan gunting.,Orang tua juga mengsawai penggunaan gunting.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi perubahan yang terjadi pada pertumbuhan hewan (dalam ukuran) dan tumbuhan (dari biji menjadi tanaman).,Setelah mempelajari bab ini siswa harus adpat mengidentifikasi perubahan yang terjadi pada pertumbuhan hewan (dalam ukuran) dan tumbuhan (dari biji menjadi tanaman).,IPA,Transposition Error
Orang tua membantu siswa memilih hewan kesukaan dan menggambarkan pertumbuhannya.,Orang tua membantu siswa memilih hewan keskuaan dan menggambarkan pertumbuhannya.,IPA,Transposition Error
Arahkan untuk menunjukkan perubahan ukuran hewan.,Arahkan untuk menunjukkan peruabhan ukuran hewan.,IPA,Transposition Error
"Setelah mempelajari bab ini siswa harus dapat mengidentifikasi berbagai tempat hidup hewan dan tumbuhan (air, tanah, dan tempat lainnya).","Setelah mempelajari bab ini siswa harus adpat mengidentifikasi berbagai tempat hidup hewan dan tumbuhan (air, tanah, dan tempat lainnya).",IPA,Transposition Error
Kegiatan dilakukan bila ada kebun sekolah dan waktu yang cukup.,Kegiatan dilakukan bila ada kebun sekolah dan waktu ygan cukup.,IPA,Transposition Error
Guru mengajak siswa ke kebun dan menjelaskan beberapa tumbuhan dan tempat hidupnya.,Guru mengajak siswa ke kebun dan menelasjkan beberapa tumbuhan dan tempat hidupnya.,IPA,Transposition Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi ciri-ciri benda padat dan ciri-ciri benda cair yang ada di sekitarnya.,Setelah mempelajari bab ini siswa harus adpat mengidentifikasi ciri-ciri benda padat dan ciri-ciri benda cair yang ada di sekitarnya.,IPA,Transposition Error
Guru memberi contoh dan menjelaskan yang harus diamati.,Guru memberi contoh dan menjelaskan yang uhars diamati.,IPA,Transposition Error
"Lalu, siswa diminta melakukan sendiri.","Lalu, siswa diminta melkaukan sendiri.",IPA,Transposition Error
"Nama-nama benda dikelompokkan menjadi dua, sebelah kanan dan kiri.","Nama-nama benda dikelompokkan menjadi dua, sebelah aknan dan kiri.",IPA,Transposition Error
"Guru memberi satu contoh, lalu siswa diminta menulis sendiri benda-benda lain di buku tugasnya.","Guru memberi satu contoh, lalu siswa dminita menulis sendiri benda-benda lain di buku tugasnya.",IPA,Transposition Error
Guru memberi contoh dan mengawasi penggunaan gunting oleh siswa.,Guru memberi contoh dan mengawasi penggunaan gunitng oleh siswa.,IPA,Transposition Error
Guru memberi contoh dan mengawasi pelaksanaan kegiatan.,Guru memberi contoh dan mengawasi pelaksanaan kegaitan.,IPA,Transposition Error
Lalu siswa diminta mencoba sendiri dengan dipandu.,Lalu siswa diminta mencoba sendiri dengan dipnadu.,IPA,Transposition Error
Pada percobaan 1 siswa dipersilakan melakukan sendiri.,Pada percobaan 1 siswa dipersilakan melakukan senidri.,IPA,Transposition Error
"Pada percobaan 2, guru yang melakukan dan siswa diminta mengamati.","Pada percobaan 2, guru yang melakukan dan siswa tdimina mengamati.",IPA,Transposition Error
Guru memberi contoh menyiapkan alat serta cara melakukan setiap bagian kegiatan.,Guru memberi contoh menyiapkan alat serta acra melakukan setiap bagian kegiatan.,IPA,Transposition Error
Siswa diminta untuk melakukan dan mengamati baik-baik.,Siswa diminta untuk melakukan dan mengamati bai-kbaik.,IPA,Transposition Error
"Guru memandu semua jalannya kegiatan, terutama yang berkaitan dengan penggunaan listrik.","Guru memandu semua jalannya kegiatan, terutama gyan berkaitan dengan penggunaan listrik.",IPA,Transposition Error
"Mengarahkan dan mengingatkan siswa nama benda, kegunaan, sumber energi, dan kapan digunakan.","Mengarahkan dan mengingatkan siswa nama benda, kegnuaan, sumber energi, dan kapan digunakan.",IPA,Transposition Error
Guru memberi contoh cara melakukan penyorotan dan menunjukkan posisi bayangan.,Guru memberi contoh cara melakukan penyorotan dan menunjukkan ipossi bayangan.,IPA,Transposition Error
"Lalu, siswa diminta melakukan sendiri dan mengamati.","Lalu, siswa diminta melakukan sendiri dan menagmati.",IPA,Transposition Error
"Orang tua membantu siswa melakukan tugasnya, terutama mengingatkan jam-jam yang diminta.","Orang tua membantu siswa melakukan tugasnya, tertuama mengingatkan jam-jam yang diminta.",IPA,Transposition Error
Guru membimbing siswa dengan meminta mereka berduaan secara bergiliran.,Guru membimbing siswa dengan meminta mereka berudaan secara bergiliran.,IPA,Transposition Error
Selain itu guru juga menghitung waktu sesuai dengan langkah dalam kegiatan itu.,Selain itu guru juga menghitung waktu sesaui dengan langkah dalam kegiatan itu.,IPA,Transposition Error
Orang tua membantu siswa menemukan gambar dan menempelkannya di buku tugas.,Orang tua membantu siswa menemukan gambar dan menempelkannya id buku tugas.,IPA,Transposition Error
Bagaimana ciri-ciri benda yang termasuk makhluk hidup?,Bagaimana ciri-ciri benda yang termasuk makhluk uhidp?,IPA,Transposition Error
Untuk itu pelajarilah uraian berikut ini!,Ntuuk itu pelajarilah uraian berikut ini!,IPA,Transposition Error
"Bagaimana jika kita seharian tidak makan, apa yang kamu rasakan?","Bagaimana jika kita seharian tidak makan, apa yang kuam rasakan?",IPA,Transposition Error
"Ciri-ciri makhluk hidup yaitu, membutuhkan makan dan minum, bernapas, bergerak, tumbuh, berkembang biak, dan peka terhadap rangsangan.","Ciri-ciri makhluk hidup yaitu, membutuhkan makan dan minum, bernaspa, bergerak, tumbuh, berkembang biak, dan peka terhadap rangsangan.",IPA,Transposition Error
"Kebutuhan makhluk hidup terdiri dari makanan, air, udara, cahaya matahari, dan tempat tinggal.","Kebutuhan makhluk hidup terdiri dari makanan, air, udara, achaya matahari, dan tempat tinggal.",IPA,Transposition Error
Apa yang menjadi bukti bahwa makhluk hidup tumbuh dan berkembang?,Apa yang menjadi bukti bahwa makhluk uhidp tumbuh dan berkembang?,IPA,Transposition Error
Coba bandingkanlah foto anak yang sehat dan anak yang terkena busung lapar di atas!,Coba bandingkanlah foto anak ygan sehat dan anak yang terkena busung lapar di atas!,IPA,Transposition Error
"Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan pada manusia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.","Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan apda manusia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.",IPA,Transposition Error
Apa sajakah faktor-faktor yang memengaruhi pertumbuhan dan perkembangan manusia?,Apa sajakah faktor-faktor yang memengaruhi pertumbuhan dan perkembangan imanusa?,IPA,Transposition Error
Perkembangan ditandai dengan bertambahnya kepandaian seseorang menjadi dewasa.,Perkembangan ditandai dengan bertambahnya kepandaian seseorang menajdi dewasa.,IPA,Transposition Error
"Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan manusia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.","Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan mansuia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.",IPA,Transposition Error
