kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Setelah mempelajari bab ini siswa harus mampu mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,Setelah mempelajari bab ini siswa harus mampx mengidentifikasi kebutuhan tubuh agar dapat tumbuh sehat dan kuat dan dapat membiasakan hidup sehat.,IPA,Subtitution Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.","Guru memberikan contoh, lalu menunjuk siswa xatu per satu dan meminta mereka menyebutkan makanan dan minuman sehari-hari.",IPA,Subtitution Error
"Guru memberikan contoh, lalu menunjuk siswa satu per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.","Guru memberikan contoh, lalu menunjuk siswa xatu per satu dan meminta mereka menyebutkan nama baju dan kapan harus dipakai.",IPA,Subtitution Error
Mula-mula guru memberi contoh menyanyikan lagu tersebut.,Mula-mula guru memberi contoh menyanyikan lagu terszbut.,IPA,Subtitution Error
"Selanjutnya, guru mengajak siswa untuk menyanyikannya bersama-sama.","Selanjutnya, guru mengajak siswa untuk menyanyikannya bersama-saza.",IPA,Subtitution Error
Guru memberikan satu contoh.,Guru memberikan xatu contoh.,IPA,Subtitution Error
"Lalu, satu per satu siswa diminta menyebutkan nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).","Lalu, satu per satu siswa diminta menyebutkaw nama kegiatan (diminta menyebutkan kegiatan itu termasuk istirahat atau olahraga).",IPA,Subtitution Error
"Orang tua membantu siswa menemukan foto mereka, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.","Orang tua membantu siswa menemukan foto mereya, lalu menuntun cara menempel dan menuliskan kata aku anak sehat di bawah foto tersebut.",IPA,Subtitution Error
Guru menunjuk siswa satu per satu dan menanyakan keadaan lingkungan rumah mereka masing-masing.,Guru menunjuk siswa satu per satu wan menanyakan keadaan lingkungan rumah mereka masing-masing.,IPA,Subtitution Error
Guru membagi siswa dalam beberapa kelompok.,Guru membagi siswa dasam beberapa kelompok.,IPA,Subtitution Error
Setiap kelompok diminta mengamati kelas.,Setiap kelompok diminta mengamavi kelas.,IPA,Subtitution Error
"Lalu setiap kelompok diminta memilih cara merapikan dan membersihkan kelas (menyapu, mengelap, dan lain-lain).","Lalu setiap kelompok diminta memilih cara merapikwn dan membersihkan kelas (menyapu, mengelap, dan lain-lain).",IPA,Subtitution Error
Guru memberi pengarahan pada siswa cara menjiplak dan mewarnai gambar di atas.,Guru memberi pengarahan pada siswa cara menjiplxk dan mewarnai gambar di atas.,IPA,Subtitution Error
Guru memberi contoh menceritakan tanaman atau hewan piaraan yang dimilikinya dengan urutan seperti diminta.,Guru memberi contoh menceritakan tanaman atau heway piaraan yang dimilikinya dengan urutan seperti diminta.,IPA,Subtitution Error
Lalu guru menunjuk siswa satu per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,Lalu guru menunjuk siswa xatu per satu untuk maju ke depan kelas dan bercerita dengan urutan seperti yang diminta.,IPA,Subtitution Error
Orang tua menemani dan memberikan petunjuk pada siswa untuk membersihkan kamarnya.,Orang tua menemani dan memberikan petunjuk wada siswa untuk membersihkan kamarnya.,IPA,Subtitution Error
"Lalu, menuntun mereka cara menggambar situasi kamar.","Lalu, menuntun mereka cara menggambar situasi kamax.",IPA,Subtitution Error
"Setelah mempelajari bab ini siswa harus mampu mengidentifikasi berbagai benda berdasarkan ciri-ciri dan sifatnya (bentuk, ukuran, warna, rasa, bahan, dan permukaannya).","Setelah mempelajari bab ini siswa harus mampx mengidentifikasi berbagai benda berdasarkan ciri-ciri dan sifatnya (bentuk, ukuran, warna, rasa, bahan, dan permukaannya).",IPA,Subtitution Error
Mula-mula guru membacakan contoh.,Mula-mula guru membacavan contoh.,IPA,Subtitution Error
Lalu meminta siswa mengamati gambar benda yang lain dan menuliskan bentuknya pada buku tugas.,Lalu meminta siswa mengamati gambar benda wang lain dan menuliskan bentuknya pada buku tugas.,IPA,Subtitution Error
Guru menyiapkan dua buah buku yang berbeda ukuran.,Guru menyiapkan dua buah buku yang berbyda ukuran.,IPA,Subtitution Error
"Lalu, siswa diminta membandingkan ukuran kedua buku itu dengan pertanyaan: buku mana yang lebih besar?","Lalu, siswa diminta membandingkan ukuran kedua wuku itu dengan pertanyaan: buku mana yang lebih besar?",IPA,Subtitution Error
Atau buku mana yang lebih kecil?,Atau buku mana yarg lebih kecil?,IPA,Subtitution Error
Guru menyiapkan bahan-bahan tersebut di atas meja.,Guru menyiapkan bahan-bahan tersebut di atas xeja.,IPA,Subtitution Error
"Beberapa siswa diminta maju dan mencicipi setiap bahan, kemudian mereka diminta menyebutkan rasa dan nama bahan tersebut.","Beberapa siswa diminta maju dan mencicipi setizp bahan, kemudian mereka diminta menyebutkan rasa dan nama bahan tersebut.",IPA,Subtitution Error
Guru memberi contoh menyebutkan berbagai jenis makanan kesukaan dan makanan yang tidak disukai dan rasanya.,Guru memberi contoh menyebutkan berbagai jenis makaxan kesukaan dan makanan yang tidak disukai dan rasanya.,IPA,Subtitution Error
Guru memberi contoh.,Guru memberi contyh.,IPA,Subtitution Error
Misalnya: aku suka bau harum bunga sedap malam.,Misalnya: aku suka bau harum bunga seday malam.,IPA,Subtitution Error
"Lalu, siswa ditunjuk satu per satu dan diminta menceritakan bau yang disukai.","Lalu, siswa ditunjuk satu per satu wan diminta menceritakan bau yang disukai.",IPA,Subtitution Error
Orang tua membantu siswa mencari dan mengenali berbagai benda di rumah yang berbentuk balok.,Orang tua membantu siswa mencari dan mengenavi berbagai benda di rumah yang berbentuk balok.,IPA,Subtitution Error
"Lalu, menuntun mereka menuliskan nama benda itu di buku tugas.","Lalu, menuntun mereka menuliskan nama benda wtu di buku tugas.",IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus mampu mengenal benda yang dapat berubah bentuk dan mengidentifikasi kegunaan berbagai macam benda.,Setelah mempelajari bab ini siswa harus mampx mengenal benda yang dapat berubah bentuk dan mengidentifikasi kegunaan berbagai macam benda.,IPA,Subtitution Error
"Guru memperagakan melipat kertas menjadi berbagai mainan (pesawat, perahu, rumah, dan lain-lain).","Guru memperagakan melipat kertas menjadi berbagai mainxn (pesawat, perahu, rumah, dan lain-lain).",IPA,Subtitution Error
Lalu siswa diminta melakukan sendiri.,Lalu siswa diminta melakukvn sendiri.,IPA,Subtitution Error
Pada akhir kegiatan guru mengajukan berbagai pertanyaan.,Pada akhir kegiatan guru mengajukan berbagai pertanyuan.,IPA,Subtitution Error
Guru membacakan contoh nama benda dan kegunaannya.,Guru membacakan contoh nama benda dan kegunaannyt.,IPA,Subtitution Error
"Lalu, siswa ditunjuk satu per satu dan diminta menyebutkan nama benda dan kegunaannya.","Lalu, siswa ditunjuk satu per satu wan diminta menyebutkan nama benda dan kegunaannya.",IPA,Subtitution Error
"Orang tua membantu siswa untuk mengenal 10 nama benda yang ada di rumah beserta kegunaannya, lalu menuntun mereka untuk menuliskannya di buku tugas.","Orang tua membantu siswa untuk mengenal t0 nama benda yang ada di rumah beserta kegunaannya, lalu menuntun mereka untuk menuliskannya di buku tugas.",IPA,Subtitution Error
Mula-mula guru memperagakan dan meminta siswa mengamati.,Mula-mula guru memperagakan dan meminta siswa mengamavi.,IPA,Subtitution Error
Lalu guru meminta siswa melakukan sendiri kegiatan.,Lalu guru meminta siswa melakukan sendiri keviatan.,IPA,Subtitution Error
Terakhir guru meminta siswa menjawab secara lisan beberapa pertanyaan.,Terakhir guru meminta siswa menjawab secara lisay beberapa pertanyaan.,IPA,Subtitution Error
Guru membacakan contoh benda dan termasuk kelompok apa (mudah atau sulit bergerak).,Guru membacakan contoh benda dan termasuk kelozpok apa (mudah atau sulit bergerak).,IPA,Subtitution Error
"Lalu, siswa ditunjuk satu per satu dan diminta menyebutkan nama benda dan termasuk kelompok mana.","Lalu, siswa ditunjuk satu per satu wan diminta menyebutkan nama benda dan termasuk kelompok mana.",IPA,Subtitution Error
"Mula-mula guru memperagakan, dan menjelaskan cara gerak benda.","Mula-mula guru memperagakan, dan menjelaskan cara geray benda.",IPA,Subtitution Error
Lalu beberapa siswa diminta melakukan sendiri kegiatan tersebut.,Lalu beberapa siswa diminta melakukan sendiri keviatan tersebut.,IPA,Subtitution Error
"Kegiatan diakhiri dengan menjawab pertanyaan, dan segera dilanjutkan kegiatan 4.","Kegiatan diakhiri dengan menjawab pertanyaan, dan segeya dilanjutkan kegiatan 4.",IPA,Subtitution Error
"Mula-mula guru memperagakan dan menjelaskan, dan meminta siswa mengamati yang terjadi.","Mula-mula guru memperagakan dan menjelaskan, dan memizta siswa mengamati yang terjadi.",IPA,Subtitution Error
Selanjutnya siswa melakukan sendiri kegiatan itu.,Selanjutnya siswa melakukan seudiri kegiatan itu.,IPA,Subtitution Error
Kegiatan diakhiri dengan menjawab pertanyaan.,Kegiatan diakhiri dengan meujawab pertanyaan.,IPA,Subtitution Error
Orang tua membantu siswa menemukan jenis-jenis olahraga yang memakai bola.,Orang tua membantu siswa menemukan jenis-jenis olahzaga yang memakai bola.,IPA,Subtitution Error
"Lalu, membantunya menuliskan di buku tugas.","Lalu, membantunya menuliskan qi buku tugas.",IPA,Subtitution Error
Mula-mula guru memberi contoh menyanyikan lagu di atas.,Mula-mula guru memberi contoh menyanyikan lagu vi atas.,IPA,Subtitution Error
"Selanjutnya, guru mengajak siswa menyanyikan lagu itu bersama-sama.","Selanjutnya, guru mengajak siswa menyanyikan lagu wtu bersama-sama.",IPA,Subtitution Error
Lagu tersebut dapat juga dideklamasikan.,Lagu tersebut dapat jura dideklamasikan.,IPA,Subtitution Error
Orang tua menemani siswa mengamati langit dan menemukan posisi bulan.,Orang tua menemani siswa mengamati langit wan menemukan posisi bulan.,IPA,Subtitution Error
Lalu orang tua membantu siswa menggambar bentuk bulan yang terlihat.,Lalu orang tua membantu siswa menggambar bentzk bulan yang terlihat.,IPA,Subtitution Error
"Guru membacakan pengantar lalu mengumpulkan jawaban dari siswa mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.","Guru membacakan pengantar lalu mengumpulkan jawaban xari siswa mungkin, tanpa terlebih dahulu membenarkan atau menyalahkan.",IPA,Subtitution Error
Mula-mula guru mengajak siswa ke halaman dalam waktu beberapa menit untuk mengamati keadaan langit hari ini.,Mula-mula guru mengajak siswa ke halaman dalax waktu beberapa menit untuk mengamati keadaan langit hari ini.,IPA,Subtitution Error
"Setelah masuk kembali ke dalam kelas, siswa diminta menceritakan keadaan langit dan cuaca dengan menjawab beberapa pertanyaan.","Setelah masuk kembali ke dalam kelas, siswx diminta menceritakan keadaan langit dan cuaca dengan menjawab beberapa pertanyaan.",IPA,Subtitution Error
"Lalu, guru mengajak siswa menyanyikan lagu itu bersama-sama.","Lalu, guru mengajak siswa menyanyikan lagu wtu bersama-sama.",IPA,Subtitution Error
Lagu juga dapat dideklamasikan.,Lagu juga dapax dideklamasikan.,IPA,Subtitution Error
Mula-mula guru menyebutkan satu contoh.,Mula-mula guru menyebutkan sapu contoh.,IPA,Subtitution Error
"Lalu, siswa diminta memilih dan menuliskan di buku tugasnya.","Lalu, siswa viminta memilih dan menuliskan di buku tugasnya.",IPA,Subtitution Error
"Lalu, siswa diminta menulis jawabannya di buku tugas masing-masing.","Lalu, siswa diminta menulis jawabannya di wuku tugas masing-masing.",IPA,Subtitution Error
Orang tua membantu mengingatkan siswa tentang situasi lingkungan rumah mereka saat musim hujan.,Orang tua membantu mengingatkan siswa tentang situysi lingkungan rumah mereka saat musim hujan.,IPA,Subtitution Error
"Misalnya: saat hujan lingkungan rumah menjadi becek, banjir, dan lain-lain.","Misalnya: saat hujan lingkungan rumah menjadi becex, banjir, dan lain-lain.",IPA,Subtitution Error
"Selanjutnya, siswa diminta menuliskan pendapat mereka di buku tugas masing-masing.","Selanjutnya, siswa viminta menuliskan pendapat mereka di buku tugas masing-masing.",IPA,Subtitution Error
Siswa diberi contoh menyiapkan semua alat dan bahan serta cara menyiram dan mengamati setiap hari selama enam hari berturut-turut.,Siswa diberi contoh menyiapkan semua alat wan bahan serta cara menyiram dan mengamati setiap hari selama enam hari berturut-turut.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi hewan dan tumbuhan yang menguntungkan dan merugikan/membahayakan.,Setelah mempelajari bab ini siswa harus dapax mengidentifikasi hewan dan tumbuhan yang menguntungkan dan merugikan/membahayakan.,IPA,Subtitution Error
Guru juga diharapkan memastikan siswa menuliskan jawaban di buku tugas.,Guru juga diharapkan memastikan siswa menuliskan jawayan di buku tugas.,IPA,Subtitution Error
"Terakhir, siswa diminta menjawab pertanyaan secara lisan.","Terakhir, siswa diminta menjawab pertanyaan secara lisay.",IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat menunjukkan perubahan bentuk dan wujud benda akibat dari kondisi tertentu.,Setelah mempelajari bab ini siswa harus dapax menunjukkan perubahan bentuk dan wujud benda akibat dari kondisi tertentu.,IPA,Subtitution Error
Atau guru sendiri yang malakukan percobaan dan siswa diminta mengamati dan mendengar penjelasan guru.,Atau guru sendiri yang malakukan percobaan wan siswa diminta mengamati dan mendengar penjelasan guru.,IPA,Subtitution Error
Orang tua mendampingi dan mengarahkan siswa dalam melakukan tugas dan mencatat hasil pengamatannya.,Orang tua mendampingi dan mengarahkan siswa dalax melakukan tugas dan mencatat hasil pengamatannya.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi benda-benda yang dikenal beserta kegunaannya.,Setelah mempelajari bab ini siswa harus dapax mengidentifikasi benda-benda yang dikenal beserta kegunaannya.,IPA,Subtitution Error
"Orang tua membantu siswa menemukan gambar, mengenalkan kegunaannya, dan mengarahkannya saat menempel dan menamai.","Orang tua membantu siswa menemukan gambar, mengenalkav kegunaannya, dan mengarahkannya saat menempel dan menamai.",IPA,Subtitution Error
Jika perlu guru yang memperagakan dan siswa diminta mengamati.,Jika perlu guru yang memperagakan dan siswx diminta mengamati.,IPA,Subtitution Error
Orang tua mengarahkan siswa untuk menemukan benda-benda tersebut dan mengetahui secara benar energi yang dihasilkan dan sumbernya.,Orang tua mengarahkan siswa untuk menemukan benda-bendy tersebut dan mengetahui secara benar energi yang dihasilkan dan sumbernya.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat menjelaskan jenis energi yang paling sering digunakan dan cara melakukan penghematan energi.,Setelah mempelajari bab ini siswa harus dapax menjelaskan jenis energi yang paling sering digunakan dan cara melakukan penghematan energi.,IPA,Subtitution Error
Orang tua membantu siswa mengerjakan tugas sesuai langkah-langkah.,Orang tua membantu siswa mengerjakan tugas sesuyi langkah-langkah.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi kenampakan matahari dari pagi sampai sore (posisi) dan pengaruhnya (panas dan bayangan yang dibentuk).,Setelah mempelajari bab ini siswa harus dapax mengidentifikasi kenampakan matahari dari pagi sampai sore (posisi) dan pengaruhnya (panas dan bayangan yang dibentuk).,IPA,Subtitution Error
Guru menyebutkan waktu saat itu dan mengajak siswa keluar sebentar ke halaman dan mengarahkan tugasnya.,Guru menyebutkan waktu saat itu dan mevgajak siswa keluar sebentar ke halaman dan mengarahkan tugasnya.,IPA,Subtitution Error
"Sesudah itu, siswa diminta menjawab beberapa pertanyaan.","Sesudah itu, siswa diminta menjawab beberapa pertanyuan.",IPA,Subtitution Error
Selain itu siswa juga diarahkan untuk membuat laporan yang tepat.,Selain itu siswa juga diarahkan untuk membzat laporan yang tepat.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mendeskripsikan kegunaan panas dan cahaya matahari dalam kehidupan sehari-hari.,Setelah mempelajari bab ini siswa harus dapax mendeskripsikan kegunaan panas dan cahaya matahari dalam kehidupan sehari-hari.,IPA,Subtitution Error
"Gambar dapat dicari dari majalah, koran, dan sebagainya.","Gambar dapat dicari dari majalah, koran, wan sebagainya.",IPA,Subtitution Error
Guru sebaiknya juga waspada dan selalu mengawasi seluruh siswa!,Guru sebaiknya juga waspada dan selalu mengawavi seluruh siswa!,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengenal bagian-bagian utama tubuh hewan dan tumbuhan di sekitar serta kegunaannya.,Setelah mempelajari bab ini siswa harus dapax mengenal bagian-bagian utama tubuh hewan dan tumbuhan di sekitar serta kegunaannya.,IPA,Subtitution Error
Guru mengarahkan siswa untuk mengamati gambar dalam kotak.,Guru mengarahkan siswa untuk mengamati gambar dalax kotak.,IPA,Subtitution Error
"Lalu, siswa diminta menjawab berbagai pertanyaan sejauh mereka tahu.","Lalu, siswa diminta menjawab berbagai pertanyaan sejazh mereka tahu.",IPA,Subtitution Error
Sebaiknya guru tidak menyalahkan atau membenarkan terlebih dahulu.,Sebaiknya guru tidak menyalahkan atau membenarkan tevlebih dahulu.,IPA,Subtitution Error
Guru mengarahkan siswa untuk mengamati gambar di atas.,Guru mengarahkan siswa untuk mengamati gambar vi atas.,IPA,Subtitution Error
"Lalu, siswa diminta menyebutkan nama hewan dan bagian tubuhnya sesuai nomor.","Lalu, siswa diminta menyebutkan nama hewan wan bagian tubuhnya sesuai nomor.",IPA,Subtitution Error
Guru memberi satu contoh.,Guru memberi xatu contoh.,IPA,Subtitution Error
Guru memberi penjelasan agar siswa menyalin gambar di buku tugas dan menuliskan nama bagian-bagian pohon kelapa dan bunga mawar.,Guru memberi penjelasan agar siswa menyalin gambyr di buku tugas dan menuliskan nama bagian-bagian pohon kelapa dan bunga mawar.,IPA,Subtitution Error
"Bila siswa belum lancar membaca, guru membantu membacakan soal.","Bila siswa belum lancar membaca, guru mevbantu membacakan soal.",IPA,Subtitution Error
Guru juga diharapkan memastikan siswa menuliskan jawaban di buku tugas .,Guru juga diharapkan memastikan siswa menuliskan jawayan di buku tugas .,IPA,Subtitution Error
Orang tua membantu siswa menyiapkan majalah dan mengarahkan cara pengerjaan tugas.,Orang tua membantu siswa menyiapkan majalah wan mengarahkan cara pengerjaan tugas.,IPA,Subtitution Error
Orang tua juga mengawasi penggunaan gunting.,Orang tua juga mengawavi penggunaan gunting.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi perubahan yang terjadi pada pertumbuhan hewan (dalam ukuran) dan tumbuhan (dari biji menjadi tanaman).,Setelah mempelajari bab ini siswa harus dapax mengidentifikasi perubahan yang terjadi pada pertumbuhan hewan (dalam ukuran) dan tumbuhan (dari biji menjadi tanaman).,IPA,Subtitution Error
Orang tua membantu siswa memilih hewan kesukaan dan menggambarkan pertumbuhannya.,Orang tua membantu siswa memilih hewan kesuzaan dan menggambarkan pertumbuhannya.,IPA,Subtitution Error
Arahkan untuk menunjukkan perubahan ukuran hewan.,Arahkan untuk menunjukkan perubahwn ukuran hewan.,IPA,Subtitution Error
"Setelah mempelajari bab ini siswa harus dapat mengidentifikasi berbagai tempat hidup hewan dan tumbuhan (air, tanah, dan tempat lainnya).","Setelah mempelajari bab ini siswa harus dapax mengidentifikasi berbagai tempat hidup hewan dan tumbuhan (air, tanah, dan tempat lainnya).",IPA,Subtitution Error
Kegiatan dilakukan bila ada kebun sekolah dan waktu yang cukup.,Kegiatan dilakukan bila ada kebun sekolah wan waktu yang cukup.,IPA,Subtitution Error
Guru mengajak siswa ke kebun dan menjelaskan beberapa tumbuhan dan tempat hidupnya.,Guru mengajak siswa ke kebun dan menjelaskaw beberapa tumbuhan dan tempat hidupnya.,IPA,Subtitution Error
Setelah mempelajari bab ini siswa harus dapat mengidentifikasi ciri-ciri benda padat dan ciri-ciri benda cair yang ada di sekitarnya.,Setelah mempelajari bab ini siswa harus dapax mengidentifikasi ciri-ciri benda padat dan ciri-ciri benda cair yang ada di sekitarnya.,IPA,Subtitution Error
Guru memberi contoh dan menjelaskan yang harus diamati.,Guru memberi contoh dan menjelaskan yang haruy diamati.,IPA,Subtitution Error
"Lalu, siswa diminta melakukan sendiri.","Lalu, siswa diminta melakukvn sendiri.",IPA,Subtitution Error
"Nama-nama benda dikelompokkan menjadi dua, sebelah kanan dan kiri.","Nama-nama benda dikelompokkan menjadi dua, sebelah kanaw dan kiri.",IPA,Subtitution Error
"Guru memberi satu contoh, lalu siswa diminta menulis sendiri benda-benda lain di buku tugasnya.","Guru memberi satu contoh, lalu siswa dimizta menulis sendiri benda-benda lain di buku tugasnya.",IPA,Subtitution Error
Guru memberi contoh dan mengawasi penggunaan gunting oleh siswa.,Guru memberi contoh dan mengawasi penggunaan guntyng oleh siswa.,IPA,Subtitution Error
Guru memberi contoh dan mengawasi pelaksanaan kegiatan.,Guru memberi contoh dan mengawasi pelaksanaan keviatan.,IPA,Subtitution Error
Lalu siswa diminta mencoba sendiri dengan dipandu.,Lalu siswa diminta mencoba sendiri dengan dipazdu.,IPA,Subtitution Error
Pada percobaan 1 siswa dipersilakan melakukan sendiri.,Pada percobaan 1 siswa dipersilakan melakukan sendzri.,IPA,Subtitution Error
"Pada percobaan 2, guru yang melakukan dan siswa diminta mengamati.","Pada percobaan 2, guru yang melakukan wan siswa diminta mengamati.",IPA,Subtitution Error
Guru memberi contoh menyiapkan alat serta cara melakukan setiap bagian kegiatan.,Guru memberi contoh menyiapkan alat serta wara melakukan setiap bagian kegiatan.,IPA,Subtitution Error
Siswa diminta untuk melakukan dan mengamati baik-baik.,Siswa diminta untuk melakukan dan mengamati baik-baxk.,IPA,Subtitution Error
"Guru memandu semua jalannya kegiatan, terutama yang berkaitan dengan penggunaan listrik.","Guru memandu semua jalannya kegiatan, terutama wang berkaitan dengan penggunaan listrik.",IPA,Subtitution Error
"Mengarahkan dan mengingatkan siswa nama benda, kegunaan, sumber energi, dan kapan digunakan.","Mengarahkan dan mengingatkan siswa nama benda, keguzaan, sumber energi, dan kapan digunakan.",IPA,Subtitution Error
Guru memberi contoh cara melakukan penyorotan dan menunjukkan posisi bayangan.,Guru memberi contoh cara melakukan penyorotan wan menunjukkan posisi bayangan.,IPA,Subtitution Error
"Lalu, siswa diminta melakukan sendiri dan mengamati.","Lalu, siswa diminta melakukan sendiri dan mengamavi.",IPA,Subtitution Error
"Orang tua membantu siswa melakukan tugasnya, terutama mengingatkan jam-jam yang diminta.","Orang tua membantu siswa melakukan tugasnya, teruzama mengingatkan jam-jam yang diminta.",IPA,Subtitution Error
Guru membimbing siswa dengan meminta mereka berduaan secara bergiliran.,Guru membimbing siswa dengan meminta mereka bevduaan secara bergiliran.,IPA,Subtitution Error
Selain itu guru juga menghitung waktu sesuai dengan langkah dalam kegiatan itu.,Selain itu guru juga menghitung waktu sesuyi dengan langkah dalam kegiatan itu.,IPA,Subtitution Error
Orang tua membantu siswa menemukan gambar dan menempelkannya di buku tugas.,Orang tua membantu siswa menemukan gambar wan menempelkannya di buku tugas.,IPA,Subtitution Error
Bagaimana ciri-ciri benda yang termasuk makhluk hidup?,Bagaimana ciri-ciri benda yang termasuk makhluk hiduy?,IPA,Subtitution Error
Untuk itu pelajarilah uraian berikut ini!,Untuk itu pelajarilah ursian berikut ini!,IPA,Subtitution Error
"Bagaimana jika kita seharian tidak makan, apa yang kamu rasakan?","Bagaimana jika kita seharian tidak makan, vpa yang kamu rasakan?",IPA,Subtitution Error
"Ciri-ciri makhluk hidup yaitu, membutuhkan makan dan minum, bernapas, bergerak, tumbuh, berkembang biak, dan peka terhadap rangsangan.","Ciri-ciri makhluk hidup yaitu, membutuhkan makan wan minum, bernapas, bergerak, tumbuh, berkembang biak, dan peka terhadap rangsangan.",IPA,Subtitution Error
"Kebutuhan makhluk hidup terdiri dari makanan, air, udara, cahaya matahari, dan tempat tinggal.","Kebutuhan makhluk hidup terdiri dari makanan, wir, udara, cahaya matahari, dan tempat tinggal.",IPA,Subtitution Error
Apa yang menjadi bukti bahwa makhluk hidup tumbuh dan berkembang?,Apa yang menjadi bukti bahwa makhluk hiduy tumbuh dan berkembang?,IPA,Subtitution Error
Coba bandingkanlah foto anak yang sehat dan anak yang terkena busung lapar di atas!,Coba bandingkanlah foto anak yang sehat wan anak yang terkena busung lapar di atas!,IPA,Subtitution Error
"Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan pada manusia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.","Faktor-faktor yang memengaruhi pertumbuhan dan perkembangan wada manusia adalah makanan bergizi, istirahat, olahraga, dan rekreasi.",IPA,Subtitution Error
Apa sajakah faktor-faktor yang memengaruhi pertumbuhan dan perkembangan manusia?,Apa sajakah faktor-faktor yang memengaruhi pertumbuhan wan perkembangan manusia?,IPA,Subtitution Error
Perkembangan ditandai dengan bertambahnya kepandaian seseorang menjadi dewasa.,Perkembangan ditandai dengan bertambahnya kepandaian seseorang mevjadi dewasa.,IPA,Subtitution Error
